,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
1381,"St. Louis County, MN",200080,3705
1382,"Scott County, MN",143372,1082
1383,"Sherburne County, MN",93231,591
1384,"Sibley County, MN",14912,49
1385,"Stearns County, MN",156819,434
1386,"Steele County, MN",36676,116
1387,"Stevens County, MN",9784,123
1388,"Swift County, MN",9411,2
1389,"Todd County, MN",24440,113
1390,"Traverse County, MN",3337,149
1391,"Wabasha County, MN",21500,55
1392,"Wadena County, MN",13646,108
1393,"Waseca County, MN",18809,176
1394,"Washington County, MN",253317,1025
1395,"Watonwan County, MN",10973,77
1396,"Wilkin County, MN",6343,134
1397,"Winona County, MN",50847,173
1398,"Wright County, MN",132745,449
1399,"Yellow Medicine County, MN",9868,350
1400,"Adams County, MS",31547,75
1401,"Alcorn County, MS",37180,33
1402,"Amite County, MS",12468,3
1403,"Attala County, MS",18581,30
1404,"Benton County, MS",8253,0
1405,"Bolivar County, MS",32592,41
1406,"Calhoun County, MS",14571,0
1407,"Carroll County, MS",10129,6
1408,"Chickasaw County, MS",17279,21
1409,"Choctaw County, MS",8321,23
1410,"Claiborne County, MS",9120,13
1411,"Clarke County, MS",15928,10
1412,"Clay County, MS",19808,59
1413,"Coahoma County, MS",23802,23
1414,"Copiah County, MS",28721,9
1415,"Covington County, MS",19091,0
1416,"DeSoto County, MS",176132,302
1417,"Forrest County, MS",75517,132
1418,"Franklin County, MS",7757,0
1419,"George County, MS",23710,227
1420,"Greene County, MS",13714,53
1421,"Grenada County, MS",21278,135
1422,"Hancock County, MS",46653,272
1423,"Harrison County, MS",202626,1122
1424,"Hinds County, MS",241774,264
1425,"Holmes County, MS",18075,9
1426,"Humphreys County, MS",8539,14
1427,"Issaquena County, MS",1328,0
1428,"Itawamba County, MS",23480,75
1429,"Jackson County, MS",142014,514
1430,"Jasper County, MS",16529,1
1431,"Jefferson County, MS",7346,11
1432,"Jefferson Davis County, MS",11495,0
1433,"Jones County, MS",68454,159
1434,"Kemper County, MS",10107,370
1435,"Lafayette County, MS",53459,82
1436,"Lamar County, MS",61223,80
1437,"Lauderdale County, MS",77323,160
1438,"Lawrence County, MS",12630,10
1439,"Leake County, MS",22870,1289
1440,"Lee County, MS",84915,206
1441,"Leflore County, MS",29804,0
1442,"Lincoln County, MS",34432,4
1443,"Lowndes County, MS",59437,113
1444,"Madison County, MS",103498,204
1445,"Marion County, MS",25202,73
1446,"Marshall County, MS",35787,15
1447,"Monroe County, MS",35840,9
1448,"Montgomery County, MS",10198,0
1449,"Neshoba County, MS",29376,4754
1450,"Newton County, MS",21524,1109
1451,"Noxubee County, MS",10828,9
1452,"Oktibbeha County, MS",49481,47
1453,"Panola County, MS",34243,59
1454,"Pearl River County, MS",55149,87
1455,"Perry County, MS",12028,0
1456,"Pike County, MS",39737,153
1457,"Pontotoc County, MS",31315,9
1458,"Prentiss County, MS",25360,0
1459,"Quitman County, MS",7372,0
1460,"Rankin County, MS",151240,225
1461,"Scott County, MS",28415,136
1462,"Sharkey County, MS",4511,6
1463,"Simpson County, MS",27073,3
1464,"Smith County, MS",16063,0
1465,"Stone County, MS",18375,66
1466,"Sunflower County, MS",26532,113
1467,"Tallahatchie County, MS",14361,22
1468,"Tate County, MS",28493,40
1469,"Tippah County, MS",21990,17
1470,"Tishomingo County, MS",19478,33
1471,"Tunica County, MS",10170,0
1472,"Union County, MS",28356,17
1473,"Walthall County, MS",14601,0
1474,"Warren County, MS",47075,105
1475,"Washington County, MS",47086,56
1476,"Wayne County, MS",20422,64
1477,"Webster County, MS",9828,9
1478,"Wilkinson County, MS",8990,0
1479,"Winston County, MS",18358,112
1480,"Yalobusha County, MS",12421,44
1481,"Yazoo County, MS",27974,143
1482,"Adair County, MO",25325,52
1483,"Andrew County, MO",17403,29
1484,"Atchison County, MO",5270,26
1485,"Audrain County, MO",25735,103
1486,"Barry County, MO",35493,286
1487,"Barton County, MO",11850,222
1488,"Bates County, MO",16374,100
1489,"Benton County, MO",18989,206
1490,"Bollinger County, MO",12281,100
1491,"Boone County, MO",176515,579
1492,"Buchanan County, MO",89076,294
1493,"Butler County, MO",42733,221
1494,"Caldwell County, MO",9049,60
1495,"Callaway County, MO",44840,232
1496,"Camden County, MO",45096,267
1497,"Cape Girardeau County, MO",78324,153
1498,"Carroll County, MO",8843,21
1499,"Carter County, MO",6197,60
1500,"Cass County, MO",102678,630
1501,"Cedar County, MO",13938,5
1502,"Chariton County, MO",7546,7
1503,"Christian County, MO",84275,510
1504,"Clark County, MO",6800,24
1505,"Clay County, MO",239164,1301
1506,"Clinton County, MO",20475,201
1507,"Cole County, MO",76740,283
1508,"Cooper County, MO",17622,50
1509,"Crawford County, MO",24280,0
1510,"Dade County, MO",7590,67
1511,"Dallas County, MO",16499,176
1512,"Daviess County, MO",8302,27
1513,"DeKalb County, MO",12564,92
1514,"Dent County, MO",15504,101
1515,"Douglas County, MO",13374,23
1516,"Dunklin County, MO",30428,121
1517,"Franklin County, MO",102781,204
1518,"Gasconade County, MO",14746,48
1519,"Gentry County, MO",6665,21
1520,"Greene County, MO",288429,1415
1521,"Grundy County, MO",10039,130
1522,"Harrison County, MO",8554,14
1523,"Henry County, MO",21765,120
1524,"Hickory County, MO",9368,155
1525,"Holt County, MO",4456,37
1526,"Howard County, MO",10113,54
1527,"Howell County, MO",40102,216
1528,"Iron County, MO",10221,74
1529,"Jackson County, MO",692003,2656
1530,"Jasper County, MO",119238,1948
1531,"Jefferson County, MO",223302,652
1532,"Johnson County, MO",53689,281
1533,"Knox County, MO",3951,0
1534,"Laclede County, MO",35507,273
1535,"Lafayette County, MO",32589,43
1536,"Lawrence County, MO",38133,196
1537,"Lewis County, MO",10027,77
1538,"Lincoln County, MO",55563,153
1539,"Linn County, MO",12186,19
1540,"Livingston County, MO",15076,81
1541,"McDonald County, MO",22827,698
1542,"Macon County, MO",15254,97
1543,"Madison County, MO",12205,34
1544,"Maries County, MO",8884,73
1545,"Marion County, MO",28672,110
1546,"Mercer County, MO",3664,0
1547,"Miller County, MO",25049,237
1548,"Mississippi County, MO",13748,131
1549,"Moniteau County, MO",15958,89
1550,"Monroe County, MO",8654,18
1551,"Montgomery County, MO",11545,12
1552,"Morgan County, MO",20137,100
1553,"New Madrid County, MO",17811,68
1554,"Newton County, MO",58202,1334
1555,"Nodaway County, MO",22547,47
1556,"Oregon County, MO",10699,156
1557,"Osage County, MO",13619,91
1558,"Ozark County, MO",9236,41
1559,"Pemiscot County, MO",17031,14
1560,"Perry County, MO",19146,79
1561,"Pettis County, MO",42371,59
1562,"Phelps County, MO",44789,375
1563,"Pike County, MO",18489,66
1564,"Platte County, MO",98824,410
1565,"Polk County, MO",31549,336
1566,"Pulaski County, MO",52591,535
1567,"Putnam County, MO",4815,9
1568,"Ralls County, MO",10217,54
1569,"Randolph County, MO",24945,132
1570,"Ray County, MO",22825,114
1571,"Reynolds County, MO",6315,26
1572,"Ripley County, MO",13693,64
1573,"St. Charles County, MO",389985,657
1574,"St. Clair County, MO",9383,69
1575,"Ste. Genevieve County, MO",17871,0
1576,"St. Francois County, MO",66342,204
1577,"St. Louis County, MO",998684,1821
1578,"Saline County, MO",23102,87
1579,"Schuyler County, MO",4502,0
1580,"Scotland County, MO",4898,0
1581,"Scott County, MO",38729,151
1582,"Shannon County, MO",8246,38
1583,"Shelby County, MO",6061,5
1584,"Stoddard County, MO",29512,3
1585,"Stone County, MO",31527,331
1586,"Sullivan County, MO",6317,43
1587,"Taney County, MO",54720,511
1588,"Texas County, MO",25671,573
1589,"Vernon County, MO",20691,127
1590,"Warren County, MO",33908,88
1591,"Washington County, MO",24931,112
1592,"Wayne County, MO",13308,51
1593,"Webster County, MO",38082,175
1594,"Worth County, MO",2040,1
1595,"Wright County, MO",18293,68
1596,"St. Louis city, MO",311273,732
1597,"Beaverhead County, MT",9393,234
1598,"Big Horn County, MT",13376,8815
1599,"Blaine County, MT",6727,3427
1600,"Broadwater County, MT",5834,72
1601,"Carbon County, MT",10546,148
1602,"Carter County, MT",1318,7
1603,"Cascade County, MT",81746,3950
1604,"Chouteau County, MT",5789,1122
1605,"Custer County, MT",11845,233
1606,"Daniels County, MT",1753,14
1607,"Dawson County, MT",9191,196
1608,"Deer Lodge County, MT",9100,157
1609,"Fallon County, MT",2838,37
1610,"Fergus County, MT",11273,81
1611,"Flathead County, MT",98082,1553
1612,"Gallatin County, MT",104729,899
1613,"Garfield County, MT",1141,0
1614,"Glacier County, MT",13699,8920
1615,"Golden Valley County, MT",724,0
1616,"Granite County, MT",3269,16
1617,"Hill County, MT",16439,3933
1618,"Jefferson County, MT",11778,128
1619,"Judith Basin County, MT",1951,36
1620,"Lake County, MT",29774,7254
1621,"Lewis and Clark County, MT",67077,1207
1622,"Liberty County, MT",2280,0
1623,"Lincoln County, MT",19358,135
1624,"McCone County, MT",1630,32
1625,"Madison County, MT",8218,75
1626,"Meagher County, MT",1968,31
1627,"Mineral County, MT",4211,107
1628,"Missoula County, MT",115983,2675
1629,"Musselshell County, MT",4807,8
1630,"Park County, MT",16246,89
1631,"Petroleum County, MT",432,0
1632,"Phillips County, MT",4124,425
1633,"Pondera County, MT",6044,910
1634,"Powder River County, MT",1619,25
1635,"Powell County, MT",6861,301
1636,"Prairie County, MT",1342,18
1637,"Ravalli County, MT",41902,386
1638,"Richland County, MT",11360,343
1639,"Roosevelt County, MT",11228,6411
1640,"Rosebud County, MT",9250,3464
1641,"Sanders County, MT",11521,410
1642,"Sheridan County, MT",3574,45
1643,"Silver Bow County, MT",34814,891
1644,"Stillwater County, MT",9410,97
1645,"Sweet Grass County, MT",3653,40
1646,"Teton County, MT",6080,56
1647,"Toole County, MT",4976,228
1648,"Treasure County, MT",777,0
1649,"Valley County, MT",7532,643
1650,"Wheatland County, MT",2149,59
1651,"Wibaux County, MT",1175,4
1652,"Yellowstone County, MT",157816,6942
1653,"Adams County, NE",31583,165
1654,"Antelope County, NE",6372,9
1655,"Arthur County, NE",418,2
1656,"Banner County, NE",696,0
1657,"Blaine County, NE",480,0
1658,"Boone County, NE",5313,5
1659,"Box Butte County, NE",11089,427
1660,"Boyd County, NE",2042,24
1661,"Brown County, NE",2988,7
1662,"Buffalo County, NE",49030,70
1663,"Burt County, NE",6528,111
1664,"Butler County, NE",8067,16
1665,"Cass County, NE",25702,30
1666,"Cedar County, NE",8523,76
1667,"Chase County, NE",3734,0
1668,"Cherry County, NE",5790,193
1669,"Cheyenne County, NE",9852,60
1670,"Clay County, NE",6232,18
1671,"Colfax County, NE",10760,166
1672,"Cuming County, NE",8991,15
1673,"Custer County, NE",10830,9
1674,"Dakota County, NE",20317,592
1675,"Dawes County, NE",8896,410
1676,"Dawson County, NE",23804,187
1677,"Deuel County, NE",1894,29
1678,"Dixon County, NE",5746,25
1679,"Dodge County, NE",36683,348
1680,"Douglas County, NE",554992,3266
1681,"Dundy County, NE",2023,2
1682,"Fillmore County, NE",5574,37
1683,"Franklin County, NE",3006,0
1684,"Frontier County, NE",2609,20
1685,"Furnas County, NE",4786,16
1686,"Gage County, NE",21595,152
1687,"Garden County, NE",1860,8
1688,"Garfield County, NE",1975,0
1689,"Gosper County, NE",2015,1
1690,"Grant County, NE",718,0
1691,"Greeley County, NE",2410,4
1692,"Hall County, NE",61343,358
1693,"Hamilton County, NE",9178,57
1694,"Harlan County, NE",3438,19
1695,"Hayes County, NE",943,0
1696,"Hitchcock County, NE",2843,2
1697,"Holt County, NE",10245,80
1698,"Hooker County, NE",691,0
1699,"Howard County, NE",6405,2
1700,"Jefferson County, NE",7188,42
1701,"Johnson County, NE",5197,43
1702,"Kearney County, NE",6552,25
1703,"Keith County, NE",8099,87
1704,"Keya Paha County, NE",792,0
1705,"Kimball County, NE",3667,26
1706,"Knox County, NE",8460,836
1707,"Lancaster County, NE",310094,1772
1708,"Lincoln County, NE",35433,126
1709,"Logan County, NE",886,4
1710,"Loup County, NE",585,2
1711,"McPherson County, NE",454,0
1712,"Madison County, NE",35164,533
1713,"Merrick County, NE",7803,9
1714,"Morrill County, NE",4841,21
1715,"Nance County, NE",3554,14
1716,"Nemaha County, NE",7004,36
1717,"Nuckolls County, NE",4275,7
1718,"Otoe County, NE",15896,87
1719,"Pawnee County, NE",2676,5
1720,"Perkins County, NE",2907,1
1721,"Phelps County, NE",9120,19
1722,"Pierce County, NE",7157,8
1723,"Platte County, NE",33063,123
1724,"Polk County, NE",5255,15
1725,"Red Willow County, NE",10806,19
1726,"Richardson County, NE",8009,171
1727,"Rock County, NE",1350,0
1728,"Saline County, NE",14288,38
1729,"Sarpy County, NE",178351,694
1730,"Saunders County, NE",21024,59
1731,"Scotts Bluff County, NE",36255,635
1732,"Seward County, NE",17127,31
1733,"Sheridan County, NE",5234,502
1734,"Sherman County, NE",3042,1
1735,"Sioux County, NE",1266,3
1736,"Stanton County, NE",5992,0
1737,"Thayer County, NE",5098,17
1738,"Thomas County, NE",645,3
1739,"Thurston County, NE",7140,4139
1740,"Valley County, NE",4224,16
1741,"Washington County, NE",20219,7
1742,"Wayne County, NE",9367,53
1743,"Webster County, NE",3571,0
1744,"Wheeler County, NE",822,0
1745,"York County, NE",13799,35
1746,"Churchill County, NV",24010,1074
1747,"Clark County, NV",2141574,16590
1748,"Douglas County, NV",47828,1016
1749,"Elko County, NV",52252,3362
1750,"Esmeralda County, NV",981,7
1751,"Eureka County, NV",1830,96
1752,"Humboldt County, NV",16904,926
1753,"Lander County, NV",5746,252
1754,"Lincoln County, NV",5174,12
1755,"Lyon County, NV",53155,1556
1756,"Mineral County, NV",4448,1005
1757,"Nye County, NV",43705,651
1758,"Pershing County, NV",6611,269
1759,"Storey County, NV",3941,75
1760,"Washoe County, NV",450486,7048
1761,"White Pine County, NV",9737,540
1762,"Carson City, NV",54467,1366
1763,"Belknap County, NH",60640,231
1764,"Carroll County, NH",47840,42
1765,"Cheshire County, NH",76263,144
1766,"Coos County, NH",32038,112
1767,"Grafton County, NH",89811,357
1768,"Hillsborough County, NH",411087,488
1769,"Merrimack County, NH",149452,253
1770,"Rockingham County, NH",305129,175
1771,"Strafford County, NH",128237,67
1772,"Sullivan County, NH",43125,221
1773,"Atlantic County, NJ",268539,969
1774,"Bergen County, NJ",929999,1695
1775,"Burlington County, NJ",446367,345
1776,"Camden County, NJ",507367,1172
1777,"Cape May County, NJ",93705,26
1778,"Cumberland County, NJ",153400,1136
1779,"Essex County, NJ",793555,1997
1780,"Gloucester County, NJ",290852,183
1781,"Hudson County, NJ",668631,2110
1782,"Hunterdon County, NJ",125051,63
1783,"Mercer County, NJ",368762,491
1784,"Middlesex County, NJ",826698,1864
1785,"Monmouth County, NJ",623387,1000
1786,"Morris County, NJ",494383,684
1787,"Ocean County, NJ",591939,337
1788,"Passaic County, NJ",504041,1831
1789,"Salem County, NJ",63336,182
1790,"Somerset County, NJ",330176,778
1791,"Sussex County, NJ",142298,50
1792,"Union County, NJ",553066,1580
1793,"Warren County, NJ",106293,156
1794,"Bernalillo County, NM",677692,32867
1795,"Catron County, NM",3539,2
1796,"Chaves County, NM",65459,1063
1797,"Cibola County, NM",26978,11318
1798,"Colfax County, NM",12353,245
1799,"Curry County, NM",50199,555
1800,"De Baca County, NM",2060,0
1801,"Doña Ana County, NM",215338,2441
1802,"Eddy County, NM",57437,869
1803,"Grant County, NM",28061,610
1804,"Guadalupe County, NM",4382,71
1805,"Harding County, NM",459,0
1806,"Hidalgo County, NM",4371,28
1807,"Lea County, NM",70126,628
1808,"Lincoln County, NM",19482,327
1809,"Los Alamos County, NM",18356,201
1810,"Luna County, NM",24264,250
1811,"McKinley County, NM",72849,55891
1812,"Mora County, NM",4563,3
1813,"Otero County, NM",65745,4385
1814,"Quay County, NM",8373,157
1815,"Rio Arriba County, NM",39307,6418
1816,"Roosevelt County, NM",19117,104
1817,"Sandoval County, NM",140769,17653
1818,"San Juan County, NM",127455,50524
1819,"San Miguel County, NM",28034,370
1820,"Santa Fe County, NM",148917,4736
1821,"Sierra County, NM",11135,376
1822,"Socorro County, NM",17000,1915
1823,"Taos County, NM",32888,2375
1824,"Torrance County, NM",15595,166
1825,"Union County, NM",4175,92
1826,"Valencia County, NM",75956,3256
1827,"Albany County, NY",307426,516
1828,"Allegany County, NY",47025,133
1829,"Bronx County, NY",1437872,9596
1830,"Broome County, NY",194402,392
1831,"Cattaraugus County, NY",77686,2380
1832,"Cayuga County, NY",77868,235
1833,"Chautauqua County, NY",129656,425
1834,"Chemung County, NY",85740,294
1835,"Chenango County, NY",48348,166
1836,"Clinton County, NY",80794,208
1837,"Columbia County, NY",60919,33
1838,"Cortland County, NY",48123,111
1839,"Delaware County, NY",45502,70
1840,"Dutchess County, NY",293894,1061
1841,"Erie County, NY",919866,4558
1842,"Essex County, NY",37751,78
1843,"Franklin County, NY",50692,3618
1844,"Fulton County, NY",53743,192
1845,"Genesee County, NY",58112,510
1846,"Greene County, NY",47617,281
1847,"Hamilton County, NY",4575,16
1848,"Herkimer County, NY",62505,150
1849,"Jefferson County, NY",114448,533
1850,"Kings County, NY",2600747,8427
1851,"Lewis County, NY",26719,55
1852,"Livingston County, NY",63907,128
1853,"Madison County, NY",71359,464
1854,"Monroe County, NY",744248,3378
1855,"Montgomery County, NY",49426,71
1856,"Nassau County, NY",1356564,3583
1857,"New York County, NY",1632480,6995
1858,"Niagara County, NY",211704,2203
1859,"Oneida County, NY",230782,491
1860,"Onondaga County, NY",464242,2389
1861,"Ontario County, NY",109472,487
1862,"Orange County, NY",378227,1308
1863,"Orleans County, NY",41175,151
1864,"Oswego County, NY",119104,190
1865,"Otsego County, NY",60244,92
1866,"Putnam County, NY",99070,205
1867,"Queens County, NY",2298513,9977
1868,"Rensselaer County, NY",159431,212
1869,"Richmond County, NY",474101,1080
1870,"Rockland County, NY",323686,544
1871,"St. Lawrence County, NY",109558,828
1872,"Saratoga County, NY",227377,472
1873,"Schenectady County, NY",154883,351
1874,"Schoharie County, NY",31364,49
1875,"Schuyler County, NY",17992,31
1876,"Seneca County, NY",34612,135
1877,"Steuben County, NY",96927,102
1878,"Suffolk County, NY",1487901,3967
1879,"Sullivan County, NY",75211,191
1880,"Tioga County, NY",49045,91
1881,"Tompkins County, NY",102962,224
1882,"Ulster County, NY",179303,368
1883,"Warren County, NY",64480,168
1884,"Washington County, NY",61828,197
1885,"Wayne County, NY",90856,144
1886,"Westchester County, NY",968815,4059
1887,"Wyoming County, NY",40565,228
1888,"Yates County, NY",25009,53
1889,"Alamance County, NC",160576,462
1890,"Alexander County, NC",37119,150
1891,"Alleghany County, NC",10973,37
1892,"Anson County, NC",25306,96
1893,"Ashe County, NC",26786,97
1894,"Avery County, NC",17501,237
1895,"Beaufort County, NC",47243,110
1896,"Bertie County, NC",19644,232
1897,"Bladen County, NC",33778,842
1898,"Brunswick County, NC",126860,791
1899,"Buncombe County, NC",254474,1014
1900,"Burke County, NC",89712,510
1901,"Cabarrus County, NC",201448,671
1902,"Caldwell County, NC",81779,317
1903,"Camden County, NC",10447,20
1904,"Carteret County, NC",68920,192
1905,"Caswell County, NC",22746,51
1906,"Catawba County, NC",156729,430
1907,"Chatham County, NC",69791,159
1908,"Cherokee County, NC",27668,430
1909,"Chowan County, NC",14205,62
1910,"Clay County, NC",10813,36
1911,"Cleveland County, NC",97159,307
1912,"Columbus County, NC",56293,2114
1913,"Craven County, NC",103082,799
1914,"Cumberland County, NC",332106,4626
1915,"Currituck County, NC",25796,132
1916,"Dare County, NC",35741,107
1917,"Davidson County, NC",164664,499
1918,"Davie County, NC",41991,156
1919,"Duplin County, NC",59062,208
1920,"Durham County, NC",306457,808
1921,"Edgecombe County, NC",53332,96
1922,"Forsyth County, NC",371573,1141
1923,"Franklin County, NC",64902,762
1924,"Gaston County, NC",216585,758
1925,"Gates County, NC",11563,108
1926,"Graham County, NC",8557,898
1927,"Granville County, NC",58874,335
1928,"Greene County, NC",21008,104
1929,"Guilford County, NC",523582,2507
1930,"Halifax County, NC",51737,1980
1931,"Harnett County, NC",130361,1173
1932,"Haywood County, NC",60433,294
1933,"Henderson County, NC",113625,323
1934,"Hertford County, NC",24153,273
1935,"Hoke County, NC",53239,4459
1936,"Hyde County, NC",5393,6
1937,"Iredell County, NC",172525,504
1938,"Jackson County, NC",42256,3480
1939,"Johnston County, NC",191172,1346
1940,"Jones County, NC",9695,42
1941,"Lee County, NC",60125,485
1942,"Lenoir County, NC",57227,171
1943,"Lincoln County, NC",81441,190
1944,"McDowell County, NC",45109,173
1945,"Macon County, NC",34410,193
1946,"Madison County, NC",21405,120
1947,"Martin County, NC",23054,111
1948,"Mecklenburg County, NC",1054314,3779
1949,"Mitchell County, NC",15040,64
1950,"Montgomery County, NC",27338,113
1951,"Moore County, NC",95629,823
1952,"Nash County, NC",94003,608
1953,"New Hanover County, NC",224231,473
1954,"Northampton County, NC",20186,120
1955,"Onslow County, NC",193912,1062
1956,"Orange County, NC",142938,784
1957,"Pamlico County, NC",12742,29
1958,"Pasquotank County, NC",39479,35
1959,"Pender County, NC",59020,164
1960,"Perquimans County, NC",13459,54
1961,"Person County, NC",39305,194
1962,"Pitt County, NC",177372,564
1963,"Polk County, NC",20458,16
1964,"Randolph County, NC",142958,662
1965,"Richmond County, NC",45189,1049
1966,"Robeson County, NC",133442,52630
1967,"Rockingham County, NC",91270,425
1968,"Rowan County, NC",139605,372
1969,"Rutherford County, NC",66532,338
1970,"Sampson County, NC",63561,1208
1971,"Scotland County, NC",35262,4039
1972,"Stanly County, NC",61114,220
1973,"Stokes County, NC",45905,188
1974,"Surry County, NC",72099,281
1975,"Swain County, NC",14254,4218
1976,"Transylvania County, NC",33513,115
1977,"Tyrrell County, NC",4119,35
1978,"Union County, NC",226694,690
1979,"Vance County, NC",44482,744
1980,"Wake County, NC",1046558,3675
1981,"Warren County, NC",20033,1153
1982,"Washington County, NC",12156,42
1983,"Watauga County, NC",54117,355
1984,"Wayne County, NC",124002,333
1985,"Wilkes County, NC",68460,192
1986,"Wilson County, NC",81336,514
1987,"Yadkin County, NC",37665,165
1988,"Yancey County, NC",17667,93
1989,"Adams County, ND",2351,28
1990,"Barnes County, ND",10836,139
1991,"Benson County, ND",6886,3865
1992,"Billings County, ND",946,5
1993,"Bottineau County, ND",6589,232
1994,"Bowman County, ND",3195,37
1995,"Burke County, ND",2213,21
1996,"Burleigh County, ND",93737,3541
1997,"Cass County, ND",174202,1631
1998,"Cavalier County, ND",3824,48
1999,"Dickey County, ND",4970,68
2000,"Divide County, ND",2369,33
2001,"Dunn County, ND",4387,436
2002,"Eddy County, ND",2313,176
2003,"Emmons County, ND",3352,3
2004,"Foster County, ND",3290,42
2005,"Golden Valley County, ND",1882,26
2006,"Grand Forks County, ND",70400,1756
2007,"Grant County, ND",2380,19
2008,"Griggs County, ND",2266,34
2009,"Hettinger County, ND",2576,82
2010,"Kidder County, ND",2460,6
2011,"LaMoure County, ND",4100,8
2012,"Logan County, ND",1927,5
2013,"McHenry County, ND",5927,62
2014,"McIntosh County, ND",2654,20
2015,"McKenzie County, ND",12536,1497
2016,"McLean County, ND",9608,690
2017,"Mercer County, ND",8570,245
2018,"Morton County, ND",30544,1232
2019,"Mountrail County, ND",10152,2810
2020,"Nelson County, ND",2920,6
2021,"Oliver County, ND",1837,40
2022,"Pembina County, ND",7016,195
2023,"Pierce County, ND",4210,130
2024,"Ramsey County, ND",11557,1210
2025,"Ransom County, ND",5361,12
2026,"Renville County, ND",2495,13
2027,"Richland County, ND",16288,313
2028,"Rolette County, ND",14603,11390
2029,"Sargent County, ND",3883,32
2030,"Sheridan County, ND",1405,11
2031,"Sioux County, ND",4413,3694
2032,"Slope County, ND",704,0
2033,"Stark County, ND",30876,397
2034,"Steele County, ND",1910,0
2035,"Stutsman County, ND",21064,293
2036,"Towner County, ND",2246,82
2037,"Traill County, ND",8019,116
2038,"Walsh County, ND",10802,206
2039,"Ward County, ND",69034,1509
2040,"Wells County, ND",4055,6
2041,"Williams County, ND",34061,1010
2042,"Adams County, OH",27878,87
2043,"Allen County, OH",103642,260
2044,"Ashland County, OH",53477,3
2045,"Ashtabula County, OH",98136,158
2046,"Athens County, OH",65936,333
2047,"Auglaize County, OH",45784,89
2048,"Belmont County, OH",68472,153
2049,"Brown County, OH",43679,74
2050,"Butler County, OH",378294,953
2051,"Carroll County, OH",27578,9
2052,"Champaign County, OH",38864,114
2053,"Clark County, OH",135198,258
2054,"Clermont County, OH",203216,312
2055,"Clinton County, OH",41896,46
2056,"Columbiana County, OH",104003,126
2057,"Coshocton County, OH",36574,86
2058,"Crawford County, OH",42021,29
2059,"Cuyahoga County, OH",1253783,3516
2060,"Darke County, OH",51734,115
2061,"Defiance County, OH",38279,144
2062,"Delaware County, OH",197008,198
2063,"Erie County, OH",75136,270
2064,"Fairfield County, OH",152910,154
2065,"Fayette County, OH",28645,7
2066,"Franklin County, OH",1275333,2473
2067,"Fulton County, OH",42305,159
2068,"Gallia County, OH",30195,116
2069,"Geauga County, OH",93961,167
2070,"Greene County, OH",165811,199
2071,"Guernsey County, OH",39274,79
2072,"Hamilton County, OH",812037,886
2073,"Hancock County, OH",75690,43
2074,"Hardin County, OH",31542,3
2075,"Harrison County, OH",15307,12
2076,"Henry County, OH",27316,71
2077,"Highland County, OH",43007,62
2078,"Hocking County, OH",28495,20
2079,"Holmes County, OH",43859,14
2080,"Huron County, OH",58457,94
2081,"Jackson County, OH",32524,13
2082,"Jefferson County, OH",66886,82
2083,"Knox County, OH",61215,127
2084,"Lake County, OH",230052,334
2085,"Lawrence County, OH",60622,13
2086,"Licking County, OH",172293,214
2087,"Logan County, OH",45307,70
2088,"Lorain County, OH",306713,1034
2089,"Lucas County, OH",432379,1194
2090,"Madison County, OH",43988,109
2091,"Mahoning County, OH",231064,698
2092,"Marion County, OH",65344,122
2093,"Medina County, OH",177257,233
2094,"Meigs County, OH",23160,41
2095,"Mercer County, OH",40806,0
2096,"Miami County, OH",104800,151
2097,"Monroe County, OH",14090,5
2098,"Montgomery County, OH",532034,1264
2099,"Morgan County, OH",14702,9
2100,"Morrow County, OH",34976,41
2101,"Muskingum County, OH",86076,181
2102,"Noble County, OH",14443,11
2103,"Ottawa County, OH",40709,90
2104,"Paulding County, OH",18872,39
2105,"Perry County, OH",35985,93
2106,"Pickaway County, OH",57420,140
2107,"Pike County, OH",28214,109
2108,"Portage County, OH",162644,371
2109,"Preble County, OH",41207,107
2110,"Putnam County, OH",33969,13
2111,"Richland County, OH",121324,217
2112,"Ross County, OH",77051,15
2113,"Sandusky County, OH",59299,158
2114,"Scioto County, OH",76377,329
2115,"Seneca County, OH",55475,170
2116,"Shelby County, OH",48797,172
2117,"Stark County, OH",373475,512
2118,"Summit County, OH",541810,1183
2119,"Trumbull County, OH",201794,304
2120,"Tuscarawas County, OH",92526,245
2121,"Union County, OH",55654,152
2122,"Van Wert County, OH",28281,58
2123,"Vinton County, OH",13111,18
2124,"Warren County, OH",226564,208
2125,"Washington County, OH",60671,329
2126,"Wayne County, OH",116208,340
2127,"Williams County, OH",36936,131
2128,"Wood County, OH",129936,222
2129,"Wyandot County, OH",22107,0
2130,"Adair County, OK",22113,9727
2131,"Alfalfa County, OK",5857,131
2132,"Atoka County, OK",13874,1447
2133,"Beaver County, OK",5415,100
2134,"Beckham County, OK",22621,430
2135,"Blaine County, OK",9634,712
2136,"Bryan County, OK",45759,6935
2137,"Caddo County, OK",29342,7002
2138,"Canadian County, OK",136710,5505
2139,"Carter County, OK",48406,3843
2140,"Cherokee County, OK",48599,16657
2141,"Choctaw County, OK",14886,2291
2142,"Cimarron County, OK",2189,10
2143,"Cleveland County, OK",276733,10939
2144,"Coal County, OK",5618,683
2145,"Comanche County, OK",122561,6389
2146,"Cotton County, OK",5929,571
