,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
174,"Scott County, AR",10442,248
175,"Searcy County, AR",7923,203
176,"Sebastian County, AR",127461,1644
177,"Sevier County, AR",17193,364
178,"Sharp County, AR",17043,96
179,"Stone County, AR",12446,63
180,"Union County, AR",39732,391
181,"Van Buren County, AR",16684,120
182,"Washington County, AR",228529,2207
183,"White County, AR",78804,275
184,"Woodruff County, AR",6660,0
185,"Yell County, AR",21573,116
186,"Alameda County, CA",1643700,10712
187,"Alpine County, CA",1146,311
188,"Amador County, CA",37829,305
189,"Butte County, CA",227075,2885
190,"Calaveras County, CA",45235,492
191,"Colusa County, CA",21464,201
192,"Contra Costa County, CA",1133247,5529
193,"Del Norte County, CA",27424,2024
194,"El Dorado County, CA",186661,1268
195,"Fresno County, CA",978130,10961
196,"Glenn County, CA",27897,670
197,"Humboldt County, CA",135768,6797
198,"Imperial County, CA",180216,1801
199,"Inyo County, CA",18085,2101
200,"Kern County, CA",883053,9488
201,"Kings County, CA",150075,2291
202,"Lake County, CA",64148,2426
203,"Lassen County, CA",31185,877
204,"Los Angeles County, CA",10098052,70527
205,"Madera County, CA",155013,2505
206,"Marin County, CA",260295,737
207,"Mariposa County, CA",17540,397
208,"Mendocino County, CA",87422,3591
209,"Merced County, CA",269075,1988
210,"Modoc County, CA",8938,298
211,"Mono County, CA",14174,527
212,"Monterey County, CA",433212,3221
213,"Napa County, CA",140530,1198
214,"Nevada County, CA",99092,864
215,"Orange County, CA",3164182,14466
216,"Placer County, CA",380077,1890
217,"Plumas County, CA",18699,428
218,"Riverside County, CA",2383286,19281
219,"Sacramento County, CA",1510023,10340
220,"San Benito County, CA",59416,422
221,"San Bernardino County, CA",2135413,17894
222,"San Diego County, CA",3302833,20980
223,"San Francisco County, CA",870044,2746
224,"San Joaquin County, CA",732212,4725
225,"San Luis Obispo County, CA",281455,1900
226,"San Mateo County, CA",765935,2922
227,"Santa Barbara County, CA",443738,4389
228,"Santa Clara County, CA",1922200,9303
229,"Santa Cruz County, CA",273765,1375
230,"Shasta County, CA",179085,4704
231,"Sierra County, CA",2930,25
232,"Siskiyou County, CA",43540,1469
233,"Solano County, CA",438530,2114
234,"Sonoma County, CA",501317,4854
235,"Stanislaus County, CA",539301,4261
236,"Sutter County, CA",95872,936
237,"Tehama County, CA",63373,1621
238,"Trinity County, CA",12862,577
239,"Tulare County, CA",460477,5469
240,"Tuolumne County, CA",53932,997
241,"Ventura County, CA",848112,7069
242,"Yolo County, CA",214977,1247
243,"Yuba County, CA",75493,1079
244,"Adams County, CO",497115,6264
