,GEO_NAME,County_Population
201,"Kings County, CA",150075
202,"Lake County, CA",64148
203,"Lassen County, CA",31185
204,"Los Angeles County, CA",10098052
205,"Madera County, CA",155013
206,"Marin County, CA",260295
207,"Mariposa County, CA",17540
208,"Mendocino County, CA",87422
209,"Merced County, CA",269075
210,"Modoc County, CA",8938
211,"Mono County, CA",14174
212,"Monterey County, CA",433212
213,"Napa County, CA",140530
214,"Nevada County, CA",99092
215,"Orange County, CA",3164182
216,"Placer County, CA",380077
217,"Plumas County, CA",18699
218,"Riverside County, CA",2383286
219,"Sacramento County, CA",1510023
220,"San Benito County, CA",59416
221,"San Bernardino County, CA",2135413
222,"San Diego County, CA",3302833
223,"San Francisco County, CA",870044
224,"San Joaquin County, CA",732212
225,"San Luis Obispo County, CA",281455
226,"San Mateo County, CA",765935
227,"Santa Barbara County, CA",443738
228,"Santa Clara County, CA",1922200
229,"Santa Cruz County, CA",273765
230,"Shasta County, CA",179085
231,"Sierra County, CA",2930
232,"Siskiyou County, CA",43540
233,"Solano County, CA",438530
234,"Sonoma County, CA",501317
235,"Stanislaus County, CA",539301
236,"Sutter County, CA",95872
237,"Tehama County, CA",63373
238,"Trinity County, CA",12862
239,"Tulare County, CA",460477
240,"Tuolumne County, CA",53932
241,"Ventura County, CA",848112
242,"Yolo County, CA",214977
243,"Yuba County, CA",75493
244,"Adams County, CO",497115
245,"Alamosa County, CO",16444
246,"Arapahoe County, CO",636671
247,"Archuleta County, CO",12908
248,"Baca County, CO",3563
249,"Bent County, CO",5809
250,"Boulder County, CO",321030
251,"Broomfield County, CO",66120
252,"Chaffee County, CO",19164
253,"Cheyenne County, CO",2039
254,"Clear Creek County, CO",9379
255,"Conejos County, CO",8142
256,"Costilla County, CO",3687
257,"Crowley County, CO",5630
258,"Custer County, CO",4640
259,"Delta County, CO",30346
260,"Denver County, CO",693417
261,"Dolores County, CO",1841
262,"Douglas County, CO",328614
263,"Eagle County, CO",54357
264,"Elbert County, CO",25162
265,"El Paso County, CO",688153
266,"Fremont County, CO",47002
267,"Garfield County, CO",58538
268,"Gilpin County, CO",5924
269,"Grand County, CO",15066
270,"Gunnison County, CO",16537
271,"Hinsdale County, CO",878
272,"Huerfano County, CO",6583
273,"Jackson County, CO",1296
274,"Jefferson County, CO",570427
275,"Kiowa County, CO",1449
276,"Kit Carson County, CO",7635
277,"Lake County, CO",7585
278,"La Plata County, CO",55101
279,"Larimer County, CO",338161
280,"Las Animas County, CO",14179
281,"Lincoln County, CO",5548
282,"Logan County, CO",21689
283,"Mesa County, CO",149998
284,"Mineral County, CO",823
285,"Moffat County, CO",13060
286,"Montezuma County, CO",25909
287,"Montrose County, CO",41268
288,"Morgan County, CO",28257
289,"Otero County, CO",18325
290,"Ouray County, CO",4722
291,"Park County, CO",17392
292,"Phillips County, CO",4318
293,"Pitkin County, CO",17909
294,"Prowers County, CO",12052
295,"Pueblo County, CO",164685
296,"Rio Blanco County, CO",6465
297,"Rio Grande County, CO",11351
298,"Routt County, CO",24874
299,"Saguache County, CO",6468
300,"San Juan County, CO",544
301,"San Miguel County, CO",7968
302,"Sedgwick County, CO",2350
303,"Summit County, CO",30429
304,"Teller County, CO",24113
305,"Washington County, CO",4840
306,"Weld County, CO",295123
307,"Yuma County, CO",10069
308,"Fairfield County, CT",944348
309,"Hartford County, CT",894730
310,"Litchfield County, CT",183031
311,"Middlesex County, CT",163368
312,"New Haven County, CT",859339
