,GEO_NAME,County_Population,non_white_total,perc_non_white,predrt
1685,"Furnas County, NE",4786,45,0.940242374,22.34
1686,"Gage County, NE",21595,460,2.130122714,22.36
1687,"Garden County, NE",1860,12,0.64516129,28.52
1688,"Garfield County, NE",1975,11,0.556962025,26.87
1689,"Gosper County, NE",2015,21,1.042183623,28.46
1690,"Grant County, NE",718,5,0.69637883,19.55
1691,"Greeley County, NE",2410,26,1.078838174,23.9
1692,"Hall County, NE",61343,2801,4.566128165,28.82
1693,"Hamilton County, NE",9178,111,1.209413816,20.17
1694,"Harlan County, NE",3438,60,1.745200698,20.69
1695,"Hayes County, NE",943,0,0,18.56
1696,"Hitchcock County, NE",2843,5,0.175870559,28.66
1697,"Holt County, NE",10245,146,1.425085408,20.51
1698,"Hooker County, NE",691,6,0.868306802,26.54
1699,"Howard County, NE",6405,29,0.452771272,21.94
1700,"Jefferson County, NE",7188,71,0.987757373,26.96
1701,"Johnson County, NE",5197,430,8.274004233,25.11
1702,"Kearney County, NE",6552,54,0.824175824,19.21
1703,"Keith County, NE",8099,229,2.827509569,26.24
1704,"Keya Paha County, NE",792,0,0,21.85
1705,"Kimball County, NE",3667,46,1.254431415,31.92
1706,"Knox County, NE",8460,897,10.60283688,25.78
1707,"Lancaster County, NE",310094,27703,8.933742672,27.53
1708,"Lincoln County, NE",35433,740,2.088448621,26.46
1709,"Logan County, NE",886,4,0.451467269,18.96
1710,"Loup County, NE",585,2,0.341880342,24.6
1711,"McPherson County, NE",454,0,0,19.11
1712,"Madison County, NE",35164,1581,4.496075532,21.56
1713,"Merrick County, NE",7803,99,1.268742791,21.68
1714,"Morrill County, NE",4841,74,1.528609791,24.73
1715,"Nance County, NE",3554,32,0.900393922,22.65
1716,"Nemaha County, NE",7004,194,2.769845802,18.47
1717,"Nuckolls County, NE",4275,71,1.660818713,24.82
1718,"Otoe County, NE",15896,190,1.19526925,22.73
1719,"Pawnee County, NE",2676,5,0.186846039,31.12
1720,"Perkins County, NE",2907,9,0.309597523,24.79
1721,"Phelps County, NE",9120,66,0.723684211,22.7
1722,"Pierce County, NE",7157,61,0.852312421,19.58
1723,"Platte County, NE",33063,540,1.633245622,24.57
1724,"Polk County, NE",5255,28,0.53282588,31.97
1725,"Red Willow County, NE",10806,120,1.11049417,23.38
1726,"Richardson County, NE",8009,205,2.559620427,28.68
1727,"Rock County, NE",1350,10,0.740740741,24.04
1728,"Saline County, NE",14288,654,4.577267637,26.44
1729,"Sarpy County, NE",178351,12341,6.919501433,18.03
1730,"Saunders County, NE",21024,194,0.922754947,18.92
1731,"Scotts Bluff County, NE",36255,1289,3.555371673,26.54
1732,"Seward County, NE",17127,210,1.226134174,19.3
1733,"Sheridan County, NE",5234,586,11.19602598,36.47
1734,"Sherman County, NE",3042,21,0.690335306,24.33
1735,"Sioux County, NE",1266,12,0.947867299,29.65
1736,"Stanton County, NE",5992,113,1.885847797,17.92
1737,"Thayer County, NE",5098,40,0.78462142,25.62
1738,"Thomas County, NE",645,3,0.465116279,27.92
1739,"Thurston County, NE",7140,4209,58.94957983,23.6
1740,"Valley County, NE",4224,36,0.852272727,22.96
1741,"Washington County, NE",20219,310,1.533211336,18.65
1742,"Wayne County, NE",9367,267,2.850432369,18.76
1743,"Webster County, NE",3571,19,0.532063848,27.61
1744,"Wheeler County, NE",822,2,0.243309002,29.94
1745,"York County, NE",13799,301,2.181317487,21.47
1746,"Churchill County, NV",24010,2375,9.891711787,19.37
1747,"Clark County, NV",2141574,484087,22.6042621,32.71
1748,"Douglas County, NV",47828,2167,4.530818767,27.39
1749,"Elko County, NV",52252,4363,8.34991962,18.1
1750,"Esmeralda County, NV",981,18,1.834862385,35.76
1751,"Eureka County, NV",1830,97,5.300546448,21.08
1752,"Humboldt County, NV",16904,1080,6.38902035,24.18
1753,"Lander County, NV",5746,315,5.482074487,22.44
1754,"Lincoln County, NV",5174,266,5.141090066,25.09
1755,"Lyon County, NV",53155,2770,5.211174866,23.6
1756,"Mineral County, NV",4448,1245,27.99010791,32.2
1757,"Nye County, NV",43705,2598,5.944399954,32
1758,"Pershing County, NV",6611,683,10.33126607,23.77
1759,"Storey County, NV",3941,145,3.679269221,26.62
1760,"Washoe County, NV",450486,43792,9.721056814,26.22
1761,"White Pine County, NV",9737,1184,12.15980281,20.83
1762,"Carson City, NV",54467,3828,7.028108763,28.38
1763,"Belknap County, NH",60640,1145,1.888192612,20.81
1764,"Carroll County, NH",47840,629,1.314799331,25.56
1765,"Cheshire County, NH",76263,1794,2.352385823,19.51
1766,"Coos County, NH",32038,1258,3.926587178,25.83
1767,"Grafton County, NH",89811,4859,5.410250415,20.7
1768,"Hillsborough County, NH",411087,28962,7.045224004,20.05
1769,"Merrimack County, NH",149452,5332,3.567700666,18.94
1770,"Rockingham County, NH",305129,8441,2.766370945,16.56
1771,"Strafford County, NH",128237,5760,4.491683368,16.85
1772,"Sullivan County, NH",43125,909,2.107826087,21.58
1773,"Atlantic County, NJ",268539,62970,23.44910795,27.27
1774,"Bergen County, NJ",929999,207665,22.3295939,28.53
1775,"Burlington County, NJ",446367,96651,21.65281036,21.41
1776,"Camden County, NJ",507367,128343,25.29589035,28.93
1777,"Cape May County, NJ",93705,5323,5.680593351,27.36
1778,"Cumberland County, NJ",153400,32905,21.45045632,27.85
1779,"Essex County, NJ",793555,359929,45.35652853,34.12
1780,"Gloucester County, NJ",290852,39177,13.46973719,19.18
1781,"Hudson County, NJ",668631,186489,27.89116867,33.19
1782,"Hunterdon County, NJ",125051,8407,6.722857074,16.62
1783,"Mercer County, NJ",368762,116425,31.57185393,26.98
1784,"Middlesex County, NJ",826698,284223,34.38051138,27.09
1785,"Monmouth County, NJ",623387,79002,12.67302655,21.27
1786,"Morris County, NJ",494383,67801,13.71426606,19.71
1787,"Ocean County, NJ",591939,30204,5.102552797,24.6
1788,"Passaic County, NJ",504041,85790,17.0204408,32.43
1789,"Salem County, NJ",63336,9201,14.52728306,22.11
1790,"Somerset County, NJ",330176,89956,27.24486335,21.77
1791,"Sussex County, NJ",142298,6282,4.414679054,17
1792,"Union County, NJ",553066,146703,26.52540565,31.65
1793,"Warren County, NJ",106293,7727,7.269528567,19.4
1794,"Bernalillo County, NM",677692,70154,10.35190027,31.3
1795,"Catron County, NM",3539,8,0.226052557,40.73
1796,"Chaves County, NM",65459,2602,3.975007256,26.03
1797,"Cibola County, NM",26978,11722,43.4502187,32.43
1798,"Colfax County, NM",12353,354,2.86570064,29.85
1799,"Curry County, NM",50199,4215,8.396581605,26.89
1800,"De Baca County, NM",2060,39,1.893203883,
1801,"Doña Ana County, NM",215338,8865,4.116783847,
1802,"Eddy County, NM",57437,1985,3.455960444,24.5
1803,"Grant County, NM",28061,892,3.178789067,33.18
1804,"Guadalupe County, NM",4382,130,2.96668188,37.61
1805,"Harding County, NM",459,2,0.435729847,34.96
1806,"Hidalgo County, NM",4371,55,1.258293297,29.53
1807,"Lea County, NM",70126,3517,5.015258249,24.87
1808,"Lincoln County, NM",19482,597,3.064367108,29.63
1809,"Los Alamos County, NM",18356,1233,6.717149706,18.53
1810,"Luna County, NM",24264,763,3.144576327,28.49
1811,"McKinley County, NM",72849,57155,78.45680792,36.53
1812,"Mora County, NM",4563,4,0.087661626,39.39
1813,"Otero County, NM",65745,7836,11.91877709,28.15
1814,"Quay County, NM",8373,394,4.705601338,35.72
1815,"Rio Arriba County, NM",39307,6848,17.42183326,31.97
1816,"Roosevelt County, NM",19117,736,3.849976461,22.42
1817,"Sandoval County, NM",140769,22937,16.29407043,25.45
1818,"San Juan County, NM",127455,52403,41.1149033,30.56
1819,"San Miguel County, NM",28034,1180,4.209174574,29.97
1820,"Santa Fe County, NM",148917,8292,5.568202421,30.27
1821,"Sierra County, NM",11135,511,4.589133363,39.16
1822,"Socorro County, NM",17000,2485,14.61764706,31.5
1823,"Taos County, NM",32888,2605,7.920822184,33.52
1824,"Torrance County, NM",15595,496,3.180506573,25.56
1825,"Union County, NM",4175,176,4.215568862,33.86
1826,"Valencia County, NM",75956,4738,6.237821897,24.88
1827,"Albany County, NY",307426,58984,19.18640583,25.13
1828,"Allegany County, NY",47025,1322,2.811270601,24.75
1829,"Bronx County, NY",1437872,553935,38.52463919,41.97
1830,"Broome County, NY",194402,19896,10.23446261,28.6
1831,"Cattaraugus County, NY",77686,4275,5.502922019,24.49
1832,"Cayuga County, NY",77868,3995,5.130477218,23.73
1833,"Chautauqua County, NY",129656,4513,3.480749059,26.83
