,ctname,Predrt_1_2
79618,"Clay County, IA",40.82
79633,"Clayton County, IA",43.98
79654,"Clinton County, IA",48.65
79693,"Crawford County, IA",46.21
79711,"Dallas County, IA",46.48
79759,"Davis County, IA",37.2
79768,"Decatur County, IA",43.91
79780,"Delaware County, IA",44.37
79795,"Des Moines County, IA",46.93
79831,"Dickinson County, IA",40.96
79849,"Dubuque County, IA",47.19
79930,"Emmet County, IA",46.11
79945,"Fayette County, IA",45.85
79969,"Floyd County, IA",43.45
79987,"Franklin County, IA",43.73
79999,"Fremont County, IA",40.98
80011,"Greene County, IA",44.21
80026,"Grundy County, IA",42.53
80041,"Guthrie County, IA",46.95
80053,"Hamilton County, IA",48.45
80071,"Hancock County, IA",41.16
80086,"Hardin County, IA",46.79
80107,"Harrison County, IA",39.98
80125,"Henry County, IA",41.83
80143,"Howard County, IA",39.31
80155,"Humboldt County, IA",38.84
80170,"Ida County, IA",41.09
80182,"Iowa County, IA",44.59
80197,"Jackson County, IA",42.19
80218,"Jasper County, IA",48.3
80248,"Jefferson County, IA",42.66
80263,"Johnson County, IA",49.21
80338,"Jones County, IA",42.69
80356,"Keokuk County, IA",46.21
80371,"Kossuth County, IA",43.78
80392,"Lee County, IA",45.19
80428,"Linn County, IA",48.56
80566,"Louisa County, IA",45.31
80578,"Lucas County, IA",42.59
80593,"Lyon County, IA",38.22
80605,"Madison County, IA",41.24
80617,"Mahaska County, IA",38.97
80641,"Marion County, IA",43.02
80668,"Marshall County, IA",50.84
80701,"Mills County, IA",46.2
80719,"Mitchell County, IA",45.7
80731,"Monona County, IA",44.04
80746,"Monroe County, IA",46.53
80758,"Montgomery County, IA",41.31
80773,"Muscatine County, IA",47.64
80806,"O'Brien County, IA",42.93
80821,"Osceola County, IA",47.42
80830,"Page County, IA",42.34
80851,"Palo Alto County, IA",42.09
80866,"Plymouth County, IA",42.09
80887,"Pocahontas County, IA",43.67
80899,"Polk County, IA",52.56
81196,"Pottawattamie County, IA",47.9
81289,"Poweshiek County, IA",42.28
81307,"Ringgold County, IA",40.14
81316,"Sac County, IA",46.71
81331,"Scott County, IA",51.79
81475,"Shelby County, IA",40.32
81490,"Sioux County, IA",41.29
81514,"Story County, IA",53.73
81577,"Tama County, IA",42.97
81598,"Taylor County, IA",42.35
81610,"Union County, IA",42.28
81625,"Van Buren County, IA",46.32
81634,"Wapello County, IA",45.98
81670,"Warren County, IA",41.95
81709,"Washington County, IA",43.45
81727,"Wayne County, IA",48.79
81739,"Webster County, IA",55.28
81778,"Winnebago County, IA",39.08
81790,"Winneshiek County, IA",42.4
81808,"Woodbury County, IA",52.03
81889,"Worth County, IA",42.78
81901,"Wright County, IA",43.86
81919,"Allen County, KS",46.22
81937,"Anderson County, KS",47.49
81946,"Atchison County, KS",49.2
81961,"Barber County, KS",47.52
81970,"Barton County, KS",49.25
81997,"Bourbon County, KS",41.52
82015,"Brown County, KS",42.11
82027,"Butler County, KS",43.94
82069,"Chase County, KS",56.68
82075,"Chautauqua County, KS",42.97
82081,"Cherokee County, KS",43.98
82102,"Cheyenne County, KS",43.23
82108,"Clark County, KS",42.24
82114,"Clay County, KS",39.41
82123,"Cloud County, KS",45.65
82138,"Coffey County, KS",45.06
82150,"Comanche County, KS",45.31
82156,"Cowley County, KS",44.44
82192,"Crawford County, KS",47.49
82228,"Decatur County, KS",42.66
82237,"Dickinson County, KS",42.39
82258,"Doniphan County, KS",46.33
82270,"Douglas County, KS",55.58
82339,"Edwards County, KS",47.47
82348,"Elk County, KS",43.76
82354,"Ellis County, KS",52.67
82375,"Ellsworth County, KS",43.74
82384,"Finney County, KS",52.88
82423,"Ford County, KS",56.21
82447,"Franklin County, KS",46.62
82465,"Geary County, KS",52.26
82492,"Gove County, KS",44.2
82501,"Graham County, KS",45.51
82510,"Grant County, KS",51.01
82519,"Gray County, KS",50.89
82528,"Greeley County, KS",40.26
82534,"Greenwood County, KS",48.71
82546,"Hamilton County, KS",44.84
82552,"Harper County, KS",43.73
82564,"Harvey County, KS",43.18
82585,"Haskell County, KS",54.83
82591,"Hodgeman County, KS",43.67
82597,"Jackson County, KS",44.25
82609,"Jefferson County, KS",41.22
82624,"Jewell County, KS",43.43
82633,"Johnson County, KS",51.54
83026,"Kearny County, KS",39.6
83032,"Kingman County, KS",42.77
83044,"Kiowa County, KS",38.98
83050,"Labette County, KS",46.36
83077,"Lane County, KS",49.39
83083,"Leavenworth County, KS",46.04
83134,"Lincoln County, KS",48.61
83140,"Linn County, KS",48.2
83149,"Logan County, KS",44.97
83155,"Lyon County, KS",52.32
83182,"McPherson County, KS",42.02
83206,"Marion County, KS",40.32
83221,"Marshall County, KS",39.41
83236,"Meade County, KS",51.21
83245,"Miami County, KS",44.27
83272,"Mitchell County, KS",41.59
83281,"Montgomery County, KS",43.14
83323,"Morris County, KS",44.39
83332,"Morton County, KS",42.25
83338,"Nemaha County, KS",40.21
83350,"Neosho County, KS",45.47
83368,"Ness County, KS",39.51
83377,"Norton County, KS",47.29
83383,"Osage County, KS",47.04
83401,"Osborne County, KS",46.4
83407,"Ottawa County, KS",34.61
83416,"Pawnee County, KS",44.15
83425,"Phillips County, KS",44.27
83437,"Pottawatomie County, KS",51.84
83452,"Pratt County, KS",48.27
83464,"Rawlins County, KS",51.95
83470,"Reno County, KS",48.16
83524,"Republic County, KS",43.12
83536,"Rice County, KS",44.8
83548,"Riley County, KS",57.58
83593,"Rooks County, KS",41.4
83602,"Rush County, KS",42.45
83611,"Russell County, KS",45.17
83620,"Saline County, KS",56.78
83659,"Scott County, KS",36.04
83665,"Sedgwick County, KS",52.18
84040,"Seward County, KS",62.35
84058,"Shawnee County, KS",48.07
84190,"Sheridan County, KS",47.93
84199,"Sherman County, KS",46.17
84208,"Smith County, KS",36.04
84217,"Stafford County, KS",41.12
84226,"Stanton County, KS",46.59
84232,"Stevens County, KS",45.1
84241,"Sumner County, KS",48.74
84262,"Thomas County, KS",46.16
84271,"Trego County, KS",48.47
84277,"Wabaunsee County, KS",43.85
84286,"Wallace County, KS",42.51
84292,"Washington County, KS",47.27
84301,"Wichita County, KS",44.56
84307,"Wilson County, KS",45.68
84322,"Woodson County, KS",48.82
84331,"Wyandotte County, KS",50.9
84544,"Adair County, KY",43.8
84568,"Allen County, KY",45.54
84589,"Anderson County, KY",47.8
84607,"Ballard County, KY",47.43
84619,"Barren County, KY",42.78
84652,"Bath County, KY",43.43
84664,"Bell County, KY",46.58
84694,"Boone County, KY",44.36
84763,"Bourbon County, KY",42.2
84784,"Boyd County, KY",44.39
84826,"Boyle County, KY",46.35
84850,"Bracken County, KY",46.62
84862,"Breathitt County, KY",42.69
84886,"Breckinridge County, KY",45.12
84907,"Bullitt County, KY",47.4
84964,"Butler County, KY",43.89
84982,"Caldwell County, KY",43.35
84994,"Calloway County, KY",46.79
85024,"Campbell County, KY",45.11
85102,"Carlisle County, KY",43.83
85114,"Carroll County, KY",43.73
85126,"Carter County, KY",41.73
85150,"Casey County, KY",43.5
85168,"Christian County, KY",53.93
85228,"Clark County, KY",45.84
85261,"Clay County, KY",48.26
85282,"Clinton County, KY",49.64
85294,"Crittenden County, KY",42.13
85309,"Cumberland County, KY",47.35
85318,"Daviess County, KY",50.48
85390,"Edmonson County, KY",41.72
85405,"Elliott County, KY",48.98
85414,"Estill County, KY",46.58
85429,"Fayette County, KY",56.83
85678,"Fleming County, KY",42.88
85693,"Floyd County, KY",46.24
85726,"Franklin County, KY",43.33
85762,"Fulton County, KY",47.4
85771,"Gallatin County, KY",51.36
85780,"Garrard County, KY",49.87
85795,"Grant County, KY",47.6
85810,"Graves County, KY",45.66
85840,"Grayson County, KY",44.19
85864,"Green County, KY",45.37
85879,"Greenup County, KY",43.55
85909,"Hancock County, KY",48.85
85921,"Hardin County, KY",48.52
85990,"Harlan County, KY",45.45
86026,"Harrison County, KY",43.77
86044,"Hart County, KY",47.01
86062,"Henderson County, KY",47.3
86098,"Henry County, KY",46.77
86116,"Hickman County, KY",38.39
86122,"Hopkins County, KY",42.72
86161,"Jackson County, KY",42.44
86173,"Jefferson County, KY",49.93
86749,"Jessamine County, KY",50.92
86779,"Johnson County, KY",43.85
86800,"Kenton County, KY",50.84
86926,"Knott County, KY",44.62
86944,"Knox County, KY",47.09
86971,"Larue County, KY",45.3
86986,"Laurel County, KY",45.55
87028,"Lawrence County, KY",40.85
87046,"Lee County, KY",45.22
87058,"Leslie County, KY",50.87
87070,"Letcher County, KY",44.72
87094,"Lewis County, KY",46.63
87109,"Lincoln County, KY",43.25
87130,"Livingston County, KY",47.63
87139,"Logan County, KY",40.8
87160,"Lyon County, KY",39.32
87172,"McCracken County, KY",45.79
87226,"McCreary County, KY",48.14
87241,"McLean County, KY",49.71
87253,"Madison County, KY",44.72
87313,"Magoffin County, KY",48.62
87328,"Marion County, KY",46.0
87349,"Marshall County, KY",43.9
87370,"Martin County, KY",43.19
87382,"Mason County, KY",47.85
87400,"Meade County, KY",47.91
87427,"Menifee County, KY",46.64
87436,"Mercer County, KY",45.32
87454,"Metcalfe County, KY",46.86
87466,"Monroe County, KY",49.02
87481,"Montgomery County, KY",45.78
87502,"Morgan County, KY",46.55
87520,"Muhlenberg County, KY",45.44
87550,"Nelson County, KY",46.36
87580,"Nicholas County, KY",39.3
87589,"Ohio County, KY",46.82
87613,"Oldham County, KY",41.16
87658,"Owen County, KY",39.72
87670,"Owsley County, KY",47.9
87679,"Pendleton County, KY",43.27
87691,"Perry County, KY",44.21
87718,"Pike County, KY",44.65
87778,"Powell County, KY",50.26
87787,"Pulaski County, KY",46.97
87832,"Robertson County, KY",38.41
87838,"Rockcastle County, KY",45.57
87853,"Rowan County, KY",48.03
87868,"Russell County, KY",41.94
87886,"Scott County, KY",52.64
87931,"Shelby County, KY",48.31
87961,"Simpson County, KY",46.83
87976,"Spencer County, KY",45.71
87991,"Taylor County, KY",45.68
88009,"Todd County, KY",46.82
88024,"Trigg County, KY",43.68
88042,"Trimble County, KY",49.5
88051,"Union County, KY",41.93
88066,"Warren County, KY",47.15
88141,"Washington County, KY",43.31
88153,"Wayne County, KY",44.07
88171,"Webster County, KY",46.08
88186,"Whitley County, KY",47.49
88213,"Wolfe County, KY",34.99
88222,"Woodford County, KY",47.5
88249,"Acadia Parish, LA",50.74
88288,"Allen Parish, LA",52.11
88306,"Ascension Parish, LA",46.82
88351,"Assumption Parish, LA",45.97
88372,"Avoyelles Parish, LA",45.38
88402,"Beauregard Parish, LA",51.41
88426,"Bienville Parish, LA",48.99
88444,"Bossier Parish, LA",49.08
88513,"Caddo Parish, LA",48.11
88708,"Calcasieu Parish, LA",47.91
88843,"Caldwell Parish, LA",49.01
88855,"Cameron Parish, LA",44.37
88867,"Catahoula Parish, LA",43.82
88879,"Claiborne Parish, LA",47.29
88897,"Concordia Parish, LA",47.78
88915,"De Soto Parish, LA",50.78
88939,"East Baton Rouge Parish, LA",49.98
89218,"East Carroll Parish, LA",45.03
89230,"East Feliciana Parish, LA",46.54
89248,"Evangeline Parish, LA",50.38
89275,"Franklin Parish, LA",46.84
89296,"Grant Parish, LA",45.64
89314,"Iberia Parish, LA",50.68
89365,"Iberville Parish, LA",51.93
89389,"Jackson Parish, LA",45.07
89407,"Jefferson Parish, LA",58.57
89791,"Jefferson Davis Parish, LA",54.12
89815,"Lafayette Parish, LA",49.3
89947,"Lafourche Parish, LA",50.91
90022,"La Salle Parish, LA",47.45
90034,"Lincoln Parish, LA",49.74
90067,"Livingston Parish, LA",47.73
90121,"Madison Parish, LA",43.74
90139,"Morehouse Parish, LA",45.92
90166,"Natchitoches Parish, LA",45.74
90196,"Orleans Parish, LA",58.44
90730,"Ouachita Parish, LA",48.24
90853,"Plaquemines Parish, LA",48.55
90883,"Pointe Coupee Parish, LA",48.59
90904,"Rapides Parish, LA",48.64
91006,"Red River Parish, LA",43.42
91015,"Richland Parish, LA",46.27
91036,"Sabine Parish, LA",47.9
91060,"St. Bernard Parish, LA",53.16
91117,"St. Charles Parish, LA",48.92
91159,"St. Helena Parish, LA",42.51
91168,"St. James Parish, LA",48.44
91192,"St. John the Baptist Parish, LA",52.62
91228,"St. Landry Parish, LA",47.69
91288,"St. Martin Parish, LA",52.07
91324,"St. Mary Parish, LA",50.91
91378,"St. Tammany Parish, LA",45.42
91510,"Tangipahoa Parish, LA",48.08
91573,"Tensas Parish, LA",45.16
91585,"Terrebonne Parish, LA",49.91
91654,"Union Parish, LA",46.7
91675,"Vermilion Parish, LA",54.84
91717,"Vernon Parish, LA",52.32
91756,"Washington Parish, LA",47.08
91792,"Webster Parish, LA",46.59
91828,"West Baton Rouge Parish, LA",52.73
91846,"West Carroll Parish, LA",50.88
91858,"West Feliciana Parish, LA",41.01
91870,"Winn Parish, LA",51.49
91885,"Androscoggin County, ME",47.13
91972,"Aroostook County, ME",43.46
92047,"Cumberland County, ME",47.64
92251,"Franklin County, ME",46.49
92281,"Hancock County, ME",45.55
92338,"Kennebec County, ME",44.69
92434,"Knox County, ME",46.02
92470,"Lincoln County, ME",45.03
92503,"Oxford County, ME",45.06
92557,"Penobscot County, ME",46.77
92698,"Piscataquis County, ME",45.34
92725,"Sagadahoc County, ME",44.74
92755,"Somerset County, ME",43.42
92809,"Waldo County, ME",47.09
92836,"Washington County, ME",46.17
92881,"York County, ME",46.52
93007,"Allegany County, MD",46.54
93079,"Anne Arundel County, MD",51.85
93397,"Baltimore County, MD",56.47
94042,"Calvert County, MD",42.29
94102,"Caroline County, MD",48.73
94132,"Carroll County, MD",43.31
94249,"Cecil County, MD",48.31
94309,"Charles County, MD",49.98
94405,"Dorchester County, MD",43.89
94438,"Frederick County, MD",52.23
94624,"Garrett County, MD",46.14
94648,"Harford County, MD",47.02
94822,"Howard County, MD",50.36
94990,"Kent County, MD",43.54
95011,"Montgomery County, MD",59.79
95659,"Prince George's County, MD",57.44
96316,"Queen Anne's County, MD",44.93
96361,"St. Mary's County, MD",46.37
96418,"Somerset County, MD",47.43
96445,"Talbot County, MD",42.47
96481,"Washington County, MD",48.93
96580,"Wicomico County, MD",47.81
96640,"Worcester County, MD",45.38
96694,"Baltimore city, MD",62.36
97297,"Barnstable County, MA",43.53
97471,"Berkshire County, MA",47.34
97591,"Bristol County, MA",51.05
97972,"Dukes County, MA",45.22
97990,"Essex County, MA",53.07
98482,"Franklin County, MA",46.09
98539,"Hampden County, MA",49.37
98851,"Hampshire County, MA",45.66
98962,"Middlesex County, MA",55.61
99919,"Nantucket County, MA",49.0
99940,"Norfolk County, MA",52.45
100333,"Plymouth County, MA",45.38
100639,"Suffolk County, MA",67.27
101254,"Worcester County, MA",48.43
101773,"Alcona County, MI",39.41
101794,"Alger County, MI",43.78
101809,"Allegan County, MI",45.01
101887,"Alpena County, MI",47.59
101920,"Antrim County, MI",47.12
101947,"Arenac County, MI",47.37
101971,"Baraga County, MI",45.67
101983,"Barry County, MI",45.61
102019,"Bay County, MI",47.62
102103,"Benzie County, MI",42.25
102124,"Berrien County, MI",46.34
102274,"Branch County, MI",45.13
102313,"Calhoun County, MI",48.29
102433,"Cass County, MI",47.54
102469,"Charlevoix County, MI",44.07
102514,"Cheboygan County, MI",47.79
102544,"Chippewa County, MI",51.27
102595,"Clare County, MI",47.0
102631,"Clinton County, MI",46.2
102700,"Crawford County, MI",43.87
102718,"Delta County, MI",45.91
102760,"Dickinson County, MI",40.61
102784,"Eaton County, MI",43.75
102871,"Emmet County, MI",47.42
102901,"Genesee County, MI",46.95
103297,"Gladwin County, MI",42.84
103327,"Gogebic County, MI",43.15
103354,"Grand Traverse County, MI",47.99
103408,"Gratiot County, MI",44.75
103441,"Hillsdale County, MI",45.14
103480,"Houghton County, MI",50.68
103519,"Huron County, MI",44.37
103561,"Ingham County, MI",52.49
103807,"Ionia County, MI",46.79
103849,"Iosco County, MI",45.74
103882,"Iron County, MI",42.12
103900,"Isabella County, MI",51.87
103948,"Jackson County, MI",47.93
104065,"Kalamazoo County, MI",46.71
104239,"Kalkaska County, MI",46.57
104257,"Kent County, MI",52.7
104644,"Keweenaw County, MI",44.0
104656,"Lake County, MI",45.04
104671,"Lapeer County, MI",47.5
104746,"Leelanau County, MI",42.8
104770,"Lenawee County, MI",46.06
104842,"Livingston County, MI",43.61
105028,"Luce County, MI",42.9
105043,"Mackinac County, MI",44.45
105064,"Macomb County, MI",54.66
105718,"Manistee County, MI",47.31
105751,"Marquette County, MI",49.09
105829,"Mason County, MI",46.22
105859,"Mecosta County, MI",45.4
105895,"Menominee County, MI",44.84
105922,"Midland County, MI",46.3
105982,"Missaukee County, MI",46.87
105997,"Monroe County, MI",42.89
106117,"Montcalm County, MI",43.73
106159,"Montmorency County, MI",44.85
106177,"Muskegon County, MI",48.71
106309,"Newaygo County, MI",48.95
106345,"Oakland County, MI",49.46
107362,"Oceana County, MI",46.4
107389,"Ogemaw County, MI",44.69
107413,"Ontonagon County, MI",41.7
107428,"Osceola County, MI",46.58
107449,"Oscoda County, MI",47.58
107467,"Otsego County, MI",43.82
107488,"Ottawa County, MI",45.15
107653,"Presque Isle County, MI",43.8
107677,"Roscommon County, MI",44.34
107710,"Saginaw County, MI",46.24
107881,"St. Clair County, MI",46.7
108034,"St. Joseph County, MI",46.14
108088,"Sanilac County, MI",46.72
108130,"Schoolcraft County, MI",45.33
108145,"Shiawassee County, MI",48.07
108199,"Tuscola County, MI",44.96
108244,"Van Buren County, MI",45.93
108295,"Washtenaw County, MI",52.15
108598,"Wayne County, MI",54.68
110434,"Wexford County, MI",44.68
110461,"Aitkin County, MN",43.65
110482,"Anoka County, MN",48.97
110734,"Becker County, MN",48.24
110767,"Beltrami County, MN",48.99
110800,"Benton County, MN",49.28
110830,"Big Stone County, MN",37.5
110842,"Blue Earth County, MN",52.71
110893,"Brown County, MN",44.13
110920,"Carlton County, MN",46.62
110944,"Carver County, MN",38.3
111004,"Cass County, MN",48.42
111037,"Chippewa County, MN",43.26
111052,"Chisago County, MN",43.78
111085,"Clay County, MN",49.11
111127,"Clearwater County, MN",41.27
111139,"Cook County, MN",47.83
111151,"Cottonwood County, MN",42.68
111166,"Crow Wing County, MN",45.36
111217,"Dakota County, MN",47.12
111505,"Dodge County, MN",44.71
111523,"Douglas County, MN",41.48
111553,"Faribault County, MN",44.2
111574,"Fillmore County, MN",39.36
111595,"Freeborn County, MN",46.35
111628,"Goodhue County, MN",43.59
111661,"Grant County, MN",43.51
111670,"Hennepin County, MN",56.39
112570,"Houston County, MN",38.81
112588,"Hubbard County, MN",43.82
112612,"Isanti County, MN",44.67
112639,"Itasca County, MN",43.57
112675,"Jackson County, MN",41.97
112690,"Kanabec County, MN",46.43
112705,"Kandiyohi County, MN",42.86
112744,"Kittson County, MN",42.97
112753,"Koochiching County, MN",41.13
112768,"Lac qui Parle County, MN",43.96
112780,"Lake County, MN",42.48
112795,"Lake of the Woods County, MN",39.64
112804,"Le Sueur County, MN",44.02
112825,"Lincoln County, MN",34.69
112834,"Lyon County, MN",46.29
112858,"McLeod County, MN",42.25
112882,"Mahnomen County, MN",46.42
112891,"Marshall County, MN",45.57
112906,"Martin County, MN",44.74
112927,"Meeker County, MN",45.59
112948,"Mille Lacs County, MN",47.37
112972,"Morrison County, MN",45.05
112999,"Mower County, MN",49.58
113035,"Murray County, MN",42.18
113047,"Nicollet County, MN",47.13
113071,"Nobles County, MN",47.25
113092,"Norman County, MN",45.34
113104,"Olmsted County, MN",45.7
113206,"Otter Tail County, MN",45.47
113260,"Pennington County, MN",44.24
113278,"Pine County, MN",43.85
113305,"Pipestone County, MN",41.22
113323,"Polk County, MN",42.97
113356,"Pope County, MN",42.45
113371,"Ramsey County, MN",57.94
113785,"Red Lake County, MN",46.76
113794,"Redwood County, MN",42.72
113815,"Renville County, MN",38.15
113836,"Rice County, MN",45.88
113878,"Rock County, MN",42.16
113890,"Roseau County, MN",44.76
113908,"St. Louis County, MN",48.92
114112,"Scott County, MN",43.21
114178,"Sherburne County, MN",42.44
114214,"Sibley County, MN",44.1
114229,"Stearns County, MN",45.9
114319,"Steele County, MN",44.76
114346,"Stevens County, MN",44.86
114358,"Swift County, MN",41.48
114373,"Todd County, MN",43.21
114400,"Traverse County, MN",47.05
114409,"Wabasha County, MN",40.15
114430,"Wadena County, MN",49.26
114442,"Waseca County, MN",42.57
114460,"Washington County, MN",43.02
114613,"Watonwan County, MN",41.76
114625,"Wilkin County, MN",43.46
114634,"Winona County, MN",49.79
114667,"Wright County, MN",43.53
114721,"Yellow Medicine County, MN",41.62
114736,"Adams County, MS",43.95
114766,"Alcorn County, MS",44.98
114790,"Amite County, MS",45.93
114802,"Attala County, MS",46.78
114823,"Benton County, MS",51.26
114832,"Bolivar County, MS",46.34
114859,"Calhoun County, MS",47.42
114877,"Carroll County, MS",44.67
114886,"Chickasaw County, MS",42.79
114901,"Choctaw County, MS",41.6
114913,"Claiborne County, MS",42.41
114925,"Clarke County, MS",45.74
114940,"Clay County, MS",46.68
114958,"Coahoma County, MS",46.02
114982,"Copiah County, MS",44.96
115003,"Covington County, MS",40.62
115018,"DeSoto County, MS",47.94
115120,"Forrest County, MS",47.42
115174,"Franklin County, MS",38.7
115183,"George County, MS",52.03
115201,"Greene County, MS",42.44
115210,"Grenada County, MS",46.05
115228,"Hancock County, MS",45.07
115255,"Harrison County, MS",49.12
115396,"Hinds County, MS",49.46
115591,"Holmes County, MS",50.3
115609,"Humphreys County, MS",41.47
115621,"Issaquena County, MS",46.3
115627,"Itawamba County, MS",46.14
115645,"Jackson County, MS",46.79
115735,"Jasper County, MS",45.88
115750,"Jefferson County, MS",46.12
115759,"Jefferson Davis County, MS",54.53
115771,"Jones County, MS",45.76
115816,"Kemper County, MS",47.29
115825,"Lafayette County, MS",48.45
115858,"Lamar County, MS",49.41
115885,"Lauderdale County, MS",45.25
115945,"Lawrence County, MS",45.15
115957,"Leake County, MS",45.72
115975,"Lee County, MS",45.58
116035,"Leflore County, MS",46.12
116062,"Lincoln County, MS",48.28
116083,"Lowndes County, MS",46.38
116128,"Madison County, MS",46.46
116194,"Marion County, MS",44.79
116215,"Marshall County, MS",45.6
116236,"Monroe County, MS",44.24
116266,"Montgomery County, MS",42.72
116278,"Neshoba County, MS",47.34
116302,"Newton County, MS",44.6
116320,"Noxubee County, MS",46.43
116332,"Oktibbeha County, MS",48.8
116359,"Panola County, MS",46.12
116380,"Pearl River County, MS",42.75
116410,"Perry County, MS",41.51
116422,"Pike County, MS",45.0
116449,"Pontotoc County, MS",45.18
116470,"Prentiss County, MS",47.71
116488,"Quitman County, MS",42.44
116500,"Rankin County, MS",46.54
116584,"Scott County, MS",42.05
116605,"Sharkey County, MS",43.91
116614,"Simpson County, MS",46.81
116632,"Smith County, MS",43.71
116644,"Stone County, MS",46.71
116656,"Sunflower County, MS",48.48
116680,"Tallahatchie County, MS",48.13
116695,"Tate County, MS",48.71
116713,"Tippah County, MS",50.34
116728,"Tishomingo County, MS",40.88
116743,"Tunica County, MS",51.3
116755,"Union County, MS",47.78
116776,"Walthall County, MS",44.81
116788,"Warren County, MS",47.69
116827,"Washington County, MS",45.94
116887,"Wayne County, MS",44.7
116902,"Webster County, MS",50.18
116914,"Wilkinson County, MS",41.24
116923,"Winston County, MS",47.67
116941,"Yalobusha County, MS",48.43
116953,"Yazoo County, MS",48.07
116974,"Adair County, MO",47.16
116998,"Andrew County, MO",46.04
117013,"Atchison County, MO",44.08
117022,"Audrain County, MO",47.1
117046,"Barry County, MO",48.48
117070,"Barton County, MO",48.87
117082,"Bates County, MO",43.92
117097,"Benton County, MO",42.84
117118,"Bollinger County, MO",46.41
117130,"Boone County, MO",46.46
117220,"Buchanan County, MO",50.38
117298,"Butler County, MO",46.76
117331,"Caldwell County, MO",46.17
117340,"Callaway County, MO",44.51
117367,"Camden County, MO",43.87
117403,"Cape Girardeau County, MO",47.29
117454,"Carroll County, MO",46.31
117466,"Carter County, MO",43.16
117475,"Cass County, MO",44.27
117538,"Cedar County, MO",45.4
117550,"Chariton County, MO",38.43
117562,"Christian County, MO",46.39
117607,"Clark County, MO",41.02
117619,"Clay County, MO",45.68
117754,"Clinton County, MO",43.73
117769,"Cole County, MO",43.1
117817,"Cooper County, MO",46.62
117835,"Crawford County, MO",45.55
117856,"Dade County, MO",49.1
117865,"Dallas County, MO",40.05
117877,"Daviess County, MO",47.74
117886,"DeKalb County, MO",45.11
117895,"Dent County, MO",48.27
117910,"Douglas County, MO",42.25
117922,"Dunklin County, MO",45.65
117955,"Franklin County, MO",44.09
118009,"Gasconade County, MO",45.11
118027,"Gentry County, MO",41.53
118036,"Greene County, MO",47.01
118225,"Grundy County, MO",45.39
118240,"Harrison County, MO",40.73
118252,"Henry County, MO",43.87
118273,"Hickory County, MO",42.91
118285,"Holt County, MO",48.36
118297,"Howard County, MO",44.74
118309,"Howell County, MO",44.82
118336,"Iron County, MO",44.29
118351,"Jackson County, MO",50.61
118951,"Jasper County, MO",48.78
119020,"Jefferson County, MO",45.76
119149,"Johnson County, MO",47.11
119179,"Knox County, MO",48.12
119188,"Laclede County, MO",45.98
119209,"Lafayette County, MO",47.71
119233,"Lawrence County, MO",46.41
119257,"Lewis County, MO",49.29
119272,"Lincoln County, MO",52.49
119296,"Linn County, MO",44.12
119314,"Livingston County, MO",46.02
119332,"McDonald County, MO",47.17
119347,"Macon County, MO",42.19
119365,"Madison County, MO",49.34
119377,"Maries County, MO",48.65
119389,"Marion County, MO",42.13
119416,"Mercer County, MO",51.41
119425,"Miller County, MO",47.48
119443,"Mississippi County, MO",40.31
119458,"Moniteau County, MO",43.85
119473,"Monroe County, MO",47.45
119485,"Montgomery County, MO",43.52
119500,"Morgan County, MO",46.56
119518,"New Madrid County, MO",42.77
119539,"Newton County, MO",46.53
119578,"Nodaway County, MO",46.27
119596,"Oregon County, MO",49.01
119608,"Osage County, MO",42.34
119623,"Ozark County, MO",42.5
119632,"Pemiscot County, MO",46.61
119653,"Perry County, MO",48.61
119671,"Pettis County, MO",50.06
119707,"Phelps County, MO",44.29
119740,"Pike County, MO",48.38
119758,"Platte County, MO",44.16
119821,"Polk County, MO",43.42
119836,"Pulaski County, MO",58.61
119866,"Putnam County, MO",41.12
119875,"Ralls County, MO",43.8
119887,"Randolph County, MO",44.81
119908,"Ray County, MO",46.62
119923,"Reynolds County, MO",44.97
119932,"Ripley County, MO",46.81
119947,"St. Charles County, MO",50.15
120187,"St. Clair County, MO",44.34
120199,"Ste. Genevieve County, MO",44.6
120214,"St. Francois County, MO",43.91
120250,"St. Louis County, MO",50.64
120850,"Saline County, MO",48.26
120877,"Schuyler County, MO",44.73
120886,"Scotland County, MO",42.73
120895,"Scott County, MO",43.61
120928,"Shannon County, MO",45.11
120937,"Shelby County, MO",43.98
120949,"Stoddard County, MO",43.96
120976,"Stone County, MO",41.98
120997,"Sullivan County, MO",47.5
121009,"Taney County, MO",46.27
121042,"Texas County, MO",48.27
121057,"Vernon County, MO",43.9
121078,"Warren County, MO",46.35
121096,"Washington County, MO",44.61
121114,"Wayne County, MO",45.45
121129,"Webster County, MO",46.8
121156,"Worth County, MO",51.72
121162,"Wright County, MO",43.13
121177,"St. Louis city, MO",60.32
121498,"Beaverhead County, MT",48.43
121510,"Big Horn County, MT",52.95
121528,"Blaine County, MT",48.89
121543,"Broadwater County, MT",51.67
121552,"Carbon County, MT",49.94
121570,"Carter County, MT",52.02
121576,"Cascade County, MT",57.6
121645,"Chouteau County, MT",41.83
121654,"Custer County, MT",53.94
121675,"Daniels County, MT",46.99
121681,"Dawson County, MT",50.08
121693,"Deer Lodge County, MT",48.27
121705,"Fallon County, MT",47.0
121711,"Fergus County, MT",50.13
121720,"Flathead County, MT",52.95
121780,"Gallatin County, MT",58.95
121849,"Garfield County, MT",50.32
121855,"Glacier County, MT",50.75
